symbol,name
20MICRONS,20 Microns
21STCENMGM,21st Cent Mgt
360ONE,360 One Wam
3BBLACKBIO,3B Blackbio Dx
3IINFOLTD,3i Infotech
3MINDIA,3M India
3PLAND,3P Land Holdings
5PAISA,5Paisa Capital
63MOONS,63 Moons Tech
A2ZINFRA,A2Z Infra Engg
AAATECH,AAA Technologies
AADHARHFC,Aadhar Housing Fin
AARNAV,Aarnav Fashions
AARON,Aaron Industries
AARTECH,Aartech Solonics
AARTIDRUGS,Aarti Drugs
AARTIIND,Aarti Industries
AARTIPHARM,Aarti Pharmalabs
AARTISURF,Aarti Surfactant
AARVI,Aarvi Encon
AAVAS,Aavas Financiers
ABB,ABB India
ABBOTINDIA,Abbott India
ABCAPITAL,Aditya Birla Cap
ABCOTS,AB Cotspin India
ABDL,Allied Blenders
ABFRL,ABFRL
ABINFRA,AB Infrabuild
ABLBL,Aditya Birla Lifesty
ABMINTLLTD,Abm International
ABMKNO,ABM Knowledgeware
ABREL,Aditya Birla Real
ABSL10BANK,ABSL10BANK
ABSLAMC,Aditya Birla Sun AMC
ABSLBANETF,ABSLBANETF
ABSLLIQUID,ABSLLIQUID
ABSLMSCIN,ABSLMSCIN
ABSLNN50ET,ABSLNN50ET
ABSLPSE,ABSLPSE
ACC,ACC
ACCELYA,Accelya Solutions
ACCURACY,Accuracy Shipping
ACE,Action Const Equip
ACEINTEG,Ace Integrated Soln
ACI,Archean Chem Inds
ACL,Andhra Cements
ACMESOLAR,Acme Solar Holdings
ACSTECH,ACS Technologies
ACUTAAS,Acutaas Chemicals
ADANIENSOL,Adani Energy Solut.
ADANIENT,Adani Enterprises
ADANIGREEN,Adani Green Energy
ADANIPORTS,Adani Ports &Special
ADANIPOWER,Adani Power
ADFFOODS,ADF Foods
ADL,Archidply Decor
ADOR,Ador Welding
ADROITINFO,Adroit Infotech
ADSL,Allied Digital Serv.
ADVAIT,Advait Energy
ADVANCE,Advance Agrolife
ADVANIHOTR,Advani Hotels
ADVENTHTL,Advent Hotels Inter.
ADVENZYMES,Advanced Enzyme
AEGISLOG,Aegis Logistics
AEGISVOPAK,Aegis Vopak Terminal
AEPL,Artemis Electricals
AEQUS,Aequs
AEROENTER,AEROFLEX ENTERPRISES LIMITED
AEROFLEX,Aeroflex Industries
AERONEU,Aeroflex Neu
AETHER,Aether Inds
AFCONS,Afcons Infra
AFFLE,Affle 3i
AFSL,Abans Financial Services Limited
AGARIND,Agarwal Inds Corp
AGARWALEYE,Dr. Agarwal's Health
AGI,AGI Greenpac
AGIIL,AGI Infra
AGRITECH,Agri-Tech India
AGROPHOS,Agro Phos India
AHCL,Anlon Healthcare
AHLADA,Ahlada Engineers
AHLEAST,Asian Hotels East
AHLUCONT,Ahluwalia Contracts
AIAENG,AIA Engineering
AIIL,Authum Invstmnt
AIRAN,Airan
AIROLAM,AiroLam
AJANTPHARM,Ajanta Pharma
AJAXENGG,Ajax Engineering
AJMERA,Ajmera Realty
AJOONI,Ajooni Biotech
AKASH,Akash Infra-Projects
AKCAPIT,AK Capital Serv
AKG,AKG Exim
AKI,AKI India
AKSHAR,Akshar Spintex
AKSHARCHEM,Aksharchem (India)
AKUMS,Akums Drugs & Pharmaceuticals
ALANKIT,Alankit
ALBERTDAVD,Albert David
ALEMBICLTD,Alembic
ALGOQUANT,Algoquant Fintec
ALICON,Alicon Castalloy
ALIVUS,Alivus Life Sciences
ALKEM,Alkem Laboratories
ALKYLAMINE,Alkyl Amines Chem
ALLCARGO,Allcargo Logistics
ALLDIGI,Alldigi Tech
ALLTIME,All Time Plastics
ALMONDZ,Almondz Global Sec
ALOKINDS,Alok Industries
ALPA,Alpa Laboratories
ALPHA,KOTAKALPHA
ALPHAETF,ALPHAETF
ALPHAGEO,Alphageo (India)
ALPL30IETF,ALPHALIETF
AMAGI,Amagi Media Labs
AMANTA,Amanta Healthcare
AMBALALSA,Ambalal Sarabhai Ent
AMBER,Amber Enterprises
AMBICAAGAR,Ambica Agarbathies
AMBIKCO,Ambika Cotton Mills
AMBUJACEM,Ambuja Cement
AMDIND,AMD Industries
AMIRCHAND,Amir Chand Jagdish
AMJLAND,AMJ Land Holdings
AMNPLST,Amines & Plasticizers
AMRUTANJAN,Amrutanjan Health
ANANDRATHI,Anand Rathi Weal
ANANTRAJ,Anant Raj
ANDHRAPAP,Andhra Paper
ANDHRSUGAR,Andhra Sugars
ANGELONE,Angel One
ANMOL,Anmol India
ANTELOPUS,Antelopus Selan Ener
ANTGRAPHIC,Antarctica
ANTHEM,Anthem Biosciences
ANUHPHR,Anuh Pharma
ANUP,Anup Engineering
ANURAS,Anupam Rasayan
AONEGOLD,AONEGOLD
AONELIQUID,AONELIQUID
AONENIFTY,AONENIFTY
AONESILVER,Angel One Silver ETF
AONETMMQ50,AONETMMQ50
AONETOTAL,AONETOTAL
APARINDS,Apar Industries
APCL,Anjani Portland Cem.
APCOTEXIND,Apcotex Industries
APEX,Apex Frozen Foods
APLAPOLLO,APL Apollo Tubes
APLLTD,Alembic Pharma
APOLLO,Apollo Micro Systems
APOLLOHOSP,Apollo Hospitals
APOLLOPIPE,Apollo Pipes
APOLLOTYRE,Apollo Tyres
APOLSINHOT,Apollo Sindoori Hotels
APTECHT,Aptech
APTUS,Aptus Value Housing
AQYLON,Aqylon Nexus
ARCHIDPLY,Archidply Industries
ARCHIES,Archies
ARE&M,Amara Raja Energy
ARENTERP,Rajdarshan Inds
ARFIN,Arfin India
ARIES,Aries Agro
ARIHANT,Arihant Foundations
ARIHANTCAP,Arihant Capital
ARIHANTSUP,Arihant Superstructures
ARIS,Arisinfra Solutions
ARKADE,Arkade Developers
ARMANFIN,Arman Financial Serv
AROGRANITE,Aro Granite Inds
ARROWGREEN,Arrow Greentech
ARSSBL,Anand Rathi Share
ARTEMISMED,Artemis Medicare
ARTNIRMAN,Art Nirman
ARVEE,Arvee Labs (India)
ARVIND,Arvind
ARVINDFASN,Arvind Fashions
ARVSMART,Arvind Smartspaces
ASAHIINDIA,Asahi India Glass
ASAHISONG,Asahi Songwon
ASAL,Automotive Stamping
ASALCBR,Assoc Alcohol & Brew
ASHAPURMIN,Ashapura Minechem
ASHIANA,Ashiana Housing
ASHIKA,Ashika Credit Capital
ASHIMASYN,Ashima
ASHOKA,Ashoka Buildcon
ASHOKAMET,Ashoka Metcast
ASHOKLEY,Ashok Leyland
ASIANENE,Asian Energy Serv
ASIANHOTNR,Asian Hotels North
ASIANPAINT,Asian Paints
ASIANTILES,Asian Granito India
ASKAUTOLTD,ASK Automotive
ASMS,Avio Smart Market
ASPINWALL,Aspinwall & Co
ASTAR,Asian Star Co
ASTEC,Astec Lifesciences
ASTERDM,Aster DM Healthcare
ASTRAL,Astral
ASTRAMICRO,Astra Micro Wave
ASTRAZEN,Astrazeneca Pharma
ATALREAL,Atal Realtech
ATAM,Atam Valves
ATGL,Adani Total Gas
ATHERENERG,Ather Energy
ATL,Allcargo Terminal
ATLANTAA,Atlantaa
ATLANTAELE,Atlanta Electricals
ATLASCYCLE,Atlas Cycles Haryana
ATUL,Atul
ATULAUTO,Atul Auto
AUBANK,AU Small Fin. Bank
AURIGROW,Auri Grow India
AURIONPRO,Aurionpro Solutions
AUROPHARMA,Aurobindo Pharma
AURUM,Aurum Proptech
AUTOAXLES,Auto.Axle
AUTOBEES,NETFAUTO
AUTOIETF,ICICIAUTO
AVAILFC,Available Finance
AVALON,Avalon Technologies
AVANTEL,Avantel
AVANTIFEED,Avanti Feeds
AVG,AVG Logistics
AVL,Aditya Vision
AVONMORE,Avonmore Capital
AVROIND,Avro India
AVTNPL,AVT Natural Prod
AWFIS,Awfis Space Solution
AWHCL,Antony Waste
AWL,AWL Agri Business
AXISBANK,Axis Bank
AXISBNKETF,AXISBNKETF
AXISCADES,Axiscades Tech
AXISCETF,AXISCETF
AXISGOLD,AXISGOLD
AXISHCETF,AXISHCETF
AXISILVER,AXISILVER
AXISNIFTY,AXIS NIFTY ETF
AXISTECETF,AXISTECETF
AXISVALUE,AXISVALUE
AXITA,Axita Cotton
AXSENSEX,AXISPEGP
AYE,AYE Finance
AYMSYNTEX,Aym Syntex
AZAD,Azad Engineering
BAFNAPH,Bafna Pharma
BAGFILMS,BAG Films & Media
BAIDFIN,Baid Leasing & Fin
BAJAJ-AUTO,Bajaj Auto
BAJAJCON,Bajaj Corp
BAJAJELEC,Bajaj Electricals
BAJAJFINSV,Bajaj Finserv
BAJAJHCARE,Bajaj Healthcare
BAJAJHFL,Bajaj Housing Financ
BAJAJHIND,Bajaj Hindusthan Sug
BAJAJHLDNG,Bajaj Hold & Invest
BAJAJINDEF,BAJAJINDEF
BAJAJST,Bajaj Steel Industries
BAJEL,Bajel Projects
BAJFINANCE,Bajaj Finance
BALAJEE,Shree Tirup.Bal.Agro
BALAJITELE,Balaji Telefilms
BALAMINES,Balaji Amines
BALKRISHNA,Balkrishna Paper
BALKRISIND,Balkrishna Inds.
BALMLAWRIE,Balmer Lawrie & Co
BALPHARMA,Bal Pharma
BALRAMCHIN,Balrampur Chini Mill
BALUFORGE,Balu Forge Inds
BANARBEADS,Banaras Beads
BANARISUG,Bannari Amman Sugars
BANCOINDIA,Banco Products
BANDHANBNK,Bandhan Bank
BANG,Bang Overseas
BANK10ADD,BANK10ADD
BANKADD,BANKETFADD
BANKBARODA,Bank of Baroda
BANKBEES,Nippon India ETF Bank BeES
BANKBETA,UTIBANKETF
BANKBETF,BANKBETF
BANKETF,BANKETF
BANKIETF,ICICIBANKN
BANKINDIA,Bank Of India
BANKNIFTY1,KOTAKBKETF
BANKPSU,Mirae Asset NiftyPSU
BANSALWIRE,Bansal Wire Inds.
BANSWRAS,Banswara Syntex
BASF,BASF India
BASML,Bannari Amman Mills
BATAINDIA,Bata india
BATLIBOI,Batliboi
BAYERCROP,Bayer CropScience
BBETF0432,BBETF0432
BBL,Bharat Bijlee
BBNPNBETF,BBNPNBETF
BBNPPGOLD,BBNPPGOLD
BBOX,Black Bo
BBTC,Bombay Burmah Trdg.
BBTCL,B & B Triplewall
BCG,Brightcom Group
BCLIND,BCL Industries
BCONCEPTS,Brand Concepts
BCPL,BCPL Railway Infra
BDL,Bharat Dynamics
BEARDSELL,Beardsell
BECTORFOOD,Mrs Bectors Food
BEDMUTHA,Bedmutha Industries
BEEKAY,Beekay Steel Inds
BEL,Bharat Electronics
BELLACASA,Bella Casa Fashion
BELRISE,Belrise Industri
BEML,BEML
BENGALASM,Bengal & Assam Co
BEPL,Bhansali Engg. Poly.
BERGEPAINT,Berger Paints India
BESTAGRO,Best Agrolife
BETA,Beta Drugs
BFINVEST,BF Investment
BFSI,Mirae Asset Nifty Fin Serv ETF
BFUTILITIE,BF Utilities
BHAGCHEM,Bhagiradha Chem
BHAGERIA,Bhageria Industries
BHARATCOAL,Bharat Coking Coal
BHARATFORG,Bharat Forge
BHARATGEAR,Bharat Gears
BHARATRAS,Bharat Rasayan
BHARATSE,Bharat Seats
BHARATWIRE,Bharat Wire Ropes
BHARTIARTL,Bharti Airtel
BHARTIHEXA,Bharti Hexacom
BHEL,BHEL
BI,Bilcare
BIGBLOC,Bigbloc Construction
BIKAJI,Bikaji Foods Inter.
BIL,Bhartiya Intl
BIMETAL,Bimetal Bearings
BIOCON,Biocon
BIOFILCHEM,Biofil Chem & Pharma
BIRLACORPN,Birla Corporation
BIRLAMONEY,Aditya Birla Money
BIRLANU,BirlaNu
BIRLAPREC,Birla Precision
BLACKBUCK,BlackBuck
BLACKROSE,Black Rose Inds
BLAL,BEML Land Assets
BLBLIMITED,BLB
BLIL,Balmer Lawie Invst
BLISSGVS,Bliss GVS Pharma
BLKASHYAP,BL Kashyap & Sons
BLS,BLS Intl Serv
BLSE,BLS E-Services
BLUECHIP,Blue Chip India
BLUEDART,Blue Dart Express
BLUEJET,Blue Jet Healthcare
BLUESTARCO,Blue Star
BLUESTONE,Bluestone Jewellery
BLUSPRING,Bluspring Enterprise
BMWVENTLTD,BMW Ventures
BNALTD,B&A
BOMDYEING,Bombay Dyeing Mfg.
BONLON,Bonlon Industries
BORANA,Borana Weaves
BOROLTD,Borosil
BORORENEW,Borosil Renewables
BOROSCI,Borosil Scientific
BOSCH-HCIL,Bosch Home Comfort
BOSCHLTD,Bosch
BPCL,BPCL
BPL,BPL
BRIGADE,Brigade Enterprises
BRIGHOTEL,Brigade Hotel Ven.
BRITANNIA,Britannia Industries
BRNL,Bharat Road Network
BSE,BSE
BSE500IETF,BSE500IETF
BSL,BSL
BSLGOLDETF,BSLGOLDETF
BSLNIFTY,BSLNIFTY
BSLSENETFG,BSLSENETFG
BSOFT,Birlasoft
BTML,Bodhi Tree MM
BTTL,Bhilwara Tech Tex
BUILDPRO,Shankara Buildpro
BUTTERFLY,ButterflyGandhimathi
BVCL,Barak Valley Cem
BYKE,Byke Hospitality
CAMLINFINE,Camlin Fine Sciences
CAMPUS,Campus Active
CAMS,Computer Age Man
CANBK,Canara Bank
CANFINHOME,Can Fin Homes
CANHLIFE,Canara HSBC Life Ins
CANTABIL,Cantabil Retail
CAPACITE,Capacite Infra
CAPILLARY,Capillary Techno Ind
CAPITALSFB,Capital Small Fin.
CAPLIPOINT,Caplin Point Labs
CARBORUNIV,Carborundum Univer.
CARERATING,CARE Ratings
CARRARO,Carraro India
CARTRADE,Cartrade Tech
CARYSIL,Carysil
CASHIETF,CASHIETF
CASTROLIND,Castrol India
CCAVENUE,AvenuesAI
CCCL,Consolidated Const
CCHHL,Country Club
CCL,CCL Products India
CDSL,Central Dep. Service
CEATLTD,CEAT
CEIGALL,Ceigall India
CEINSYS,Ceinsys Tech
CELEBRITY,Celebrity Fashion
CELLO,Cello World
CEMPRO,Cemindia Projects
CENTENKA,Century Enka
CENTEXT,Century Extrusions
CENTRALBK,Central Bank of India
CENTRUM,Centrum Capital
CENTUM,Centum Electronics
CENTURYPLY,Century Plyboard
CERA,Cera Sanitaryware
CESC,CESC
CEWATER,Concord Enviro Sys.
CGCL,Capri Global Capital
CGPOWER,CG Power & Inds
CHALET,Chalet Hotels
CHAMBLFERT,Chambal Fertilisers
CHEMCON,Chemcon Speciality
CHEMICAL,CHEMICAL
CHEMPLASTS,Chemplast Sanmar
CHENNPETRO,Chennai Petro Corp
CHEVIOT,Cheviot Co
CHOICEGOLD,CHOICEGOLD
CHOICEIN,Choice Intl
CHOLAFIN,Cholamandalam Invest
CHOLAHLDNG,Cholamandalam Fin.
CIEINDIA,CIE Automotive India
CIFL,Capital India Finance
CINELINE,Cineline India
CINEVISTA,Cinevista
CIPLA,Cipla
CLEAN,Clean Science
CLEANMAX,Clean Max Env. Energ
CLSEL,Chaman L S Exports
CMPDI,Central Mine Planning & Design Inst
CMSINFO,CMS Info Systems
CNL,Creative Peripherals
COALINDIA,Coal India
COASTCORP,Coastal Corporation
COCHINSHIP,Cochin Shipyard
COCKERILL,John Cockerill India
COFFEEDAY,Coffee Day Entr
COFORGE,Coforge
COHANCE,Cohance Lifesciences
COLPAL,Colgate-Palmolive
COMFINTE,Comfort Intech
COMMOIETF,COMMOIETF
COMPUSOFT,Compucom Software
COMSYN,COMSYN
CONCOR,Container Corp
CONCORDBIO,Concord Biotech
CONFIPET,Confidence Petro
CONS,KOTAKCONS
CONSOFINVT,Consolidated Finvest
CONSUMBEES,Nippon India ETF Consumption
CONSUMER,Mirae Asset Nifty In
CONSUMIETF,CONSUMIETF
CONTROLPR,Control Print
CORALFINAC,Coral India Finance
COROMANDEL,Coromandel Intl
CORONA,CORONA Remedies
COSMOFIRST,Cosmo First
COUNCODOS,Country Condo's
CPEDU,Career Point Edutech
CPPLUS,Aditya Infotech
CPSEETF,CPSE ETF
CRAFTSMAN,Craftsman Automation
CRAMC,Canara Robeco Asset
CREATIVEYE,Creative Eye
CREDITACC,CreditAccess Grameen
CREST,Crest Ventures
CRISIL,CRISIL
CRIZAC,Crizac
CROMPTON,Crompton Greaves
CROWN,Crown Lifters
CSBBANK,CSB Bank
CSLFINANCE,CSL Finance
CTE,Cambridge Tech
CUB,City Union Bank
CUBEXTUB,Cubex Tubings
CUMMINSIND,Cummins India
CUPID,Cupid
CYBERTECH,Cybertech Systems
CYIENT,Cyient
CYIENTDLM,Cyient DLM
DABUR,Dabur India
DAICHI,Dai Ichi Karkaria
DALBHARAT,Dalmia Bharat
DALMIASUG,Dalmia Bharat Inds
DAMCAPITAL,DAM Capital Advi
DAMODARIND,Damodar Industries
DANGEE,Dangee Dums
DATAMATICS,Datamatic Global Ser
DATAPATTNS,Data Patterns (I)
DAVANGERE,Davangere Sugar Co
DBCORP,DB Corp
DBL,Dilip Buildcon
DBSTOCKBRO,DB Stock Brokers
DCAL,Dishman Carbogen
DCBBANK,DCB Bank
DCM,DCM
DCMSHRIRAM,DCM Shriram
DCMSRIND,DCM Shriram Inds.
DCW,DCW
DCXINDIA,DCX Systems
DDEVPLSTIK,Ddev Plastiks Ind.
DECCANCE,Deccan Cements
DECNGOLD,Deccan Gold Mines
DEEPAKFERT,Deepak Fert & Petro
DEEPAKNTR,Deepak Nitrite
DEEPINDS,Deep Industries
DEFENCE,DEFENCE
DELHIVERY,Delhivery
DELPHIFX,Ebixcash World
DELTACORP,Delta Corp
DELTAMAGNT,Delta Manufacturing
DEN,DEN Networks
DENORA,De Nora India
DENTA,Denta Water And Inf
DEVIT,Dev It
DEVX,Dev Accelerator 
DEVYANI,Devyani
DGCONTENT,Digicontent
DHAMPURSUG,Dhampur Sugar Mills
DHANBANK,Dhanlaxmi Bank
DHANUKA,Dhanuka Agritech
DHARMAJ,Dharmaj Crop Guard
DHUNINV,Dhunseri Investments
DIACABS,Diamond Power Infra
DIAMINESQ,Diamines & Chemicals
DIAMONDYD,Prataap Snacks
DICIND,DIC India
DIFFNKG,Diffusion Engineers
DIGIDRIVE,Digidrive Distribut
DIGITIDE,Digitide Solutions
DIGJAMLMTD,DIGJAM
DISAQ,DISA India
DIVGIITTS,Divgi Torqtransfer
DIVIDEND,DIVIDEND
DIVISLAB,Divi's Labs
DIVOPPBEES,Nippon India ETF Dividend Opps
DIXON,Dixon Technologies
DJML,DJ Mediaprint & Logi
DLF,DLF
DLINKINDIA,D-Link (India)
DMART,Avenue Supermarts
DMCC,DMCC Speciality Chem
DNAMEDIA,Diligent Media Co
DODLA,Dodla Dairy
DOLATALGO,Dolat Algotech
DOLLAR,Dollar Industries
DOLPHIN,Dolphin Enterprise
DOMS,DOMS Industries
DONEAR,Donear Industries
DPABHUSHAN,DP Abhushan
DPWIRES,DP Wires
DRAGARWQ,Dr Agarwal's Hosp
DRCSYSTEMS,DRC Systems
DREAMFOLKS,Dreamfolks Services
DREDGECORP,Dredging Corporation
DRREDDY,Dr Reddy's Labs
DSFCL,DCM Shriram Fine Che
DSSL,Dynacons Systems
DTIL,Dhunseri Tea
DVL,Dhunseri Ventures
DWARKESH,Dwarikesh Sugar
DYCL,Dynamic Cables
DYNAMATECH,Dynamatic Tech
DYNPRO,Dynemic Products
E2E,E2E Networks
EASEMYTRIP,EaseMyTrip
EBANKNIFTY,EBANKNIFTY
EBBETF0430,EBBETF0430
EBBETF0431,EBBETF0431
EBBETF0433,EBBETF0433
EBGNG,GNG Electronics
ECAPINSURE,Edelweiss BSE Capita
ECLERX,eClerx Services
EDELWEISS,Edelweiss Financial Services
EFCIL,EFC (I)
EGOLD,EGOLD
EICHERMOT,Eicher Motors
EIDPARRY,EID-Parry India
EIEL,Enviro Infra Engine.
EIFFL,Euro India Fresh Foods
EIHAHOTELS,EIH Associated Hotel
EIHOTEL,EIH
EIMCOELECO,Eimco Elecon India
EKC,Everest Kanto
ELANTAS,ELANTAS Beck India
ELCIDIN,Elcid Investments
ELDEHSG,EHIL
ELECON,Elecon Engg Co
ELECTCAST,Electrosteel Castings
ELECTHERM,Electrotherm India
ELGIEQUIP,Elgi Equipments
ELGIRUBCO,ELGI Rubber Co
ELIN,Elin Electronics
ELIQUID,ELIQUID
ELITECON,Elitecon Intl
ELLEN,Ellenbarrie Indl.Gas
ELM250,Edelweiss Nifty Larg
ELPROINTL,Elpro International
EMAMILTD,Emami
EMAMIPAP,Emami Paper Mills
EMBDL,Embassy Developments
EMCURE,Emcure Pharma
EMIL,Electronics Mart Ind
EMKAY,EmkayGlobal Finl.Ser
EMMBI,Emmbi Industries
EMMVEE,Emmvee Photovoltaic
EMSLIMITED,EMS
EMUDHRA,eMudhra
EMULTIMQ,EDELAMC - EMULTIMQ
ENDURANCE,Endurance Tech
ENERGY,ENERGY
ENERGYDEV,Energy Development Co
ENEXT50,ENEXT50
ENGINERSIN,Engineers India
ENIFTY,Edelweiss Nifty 50
ENIL,Entertainment Network
ENRIN,Siemens Energy India
ENTERO,Entero Healthcare
EPACK,EPACK Durable
EPACKPEB,EPack Prefab Techno.
EPIGRAL,Epigral Ltd
EPL,EPL
EQUAL200-EQ,EQUAL200
EQUAL50,EQUAL50
EQUAL50ADD,DSP Mutual Fund
EQUITASBNK,Equitas Small Fin
ERIS,Eris Lifesciences
ESABINDIA,Esab india
ESAFSFB,ESAF Small Finance
ESCORTS,Escorts
ESENSEX,ESENSEX
ESG,MAESGETF
ESILVER,ESILVER
ESSARSHPNG,Essar Shipping
ESTER,Ester Industries
ETERNAL,Eternal (Zomato)
ETHOSLTD,Ethos
EUREKAFORB,Eureka Forbes
EUROBOND,Euro Panel Products
EUROPRATIK,Euro Pratik Sales
EUROTEXIND,Eurotex Industries
EVEREADY,Eveready Industries
EVERESTIND,Everest Industries
EVIETF,EVIETF
EVINDIA,EVINDIA
EXCELINDUS,Excel Industries
EXCELSOFT,Excelsoft Technologi
EXICOM,Exicom Tele-Systems
EXIDEIND,Exide Industries
EXPLEOSOL,Expleo Solutions
EXXARO,Exxaro Tiles
FABTECH,Fabtech Technologies
FACT,Fert & Chem Travan
FAIRCHEMOR,Fairchem Organics
FAZE3Q,Faze Three
FCL,Fineotex Chemical
FDC,FDC
FEDDERSHOL,Fedders Holding
FEDERALBNK,The Federal Bank
FEDFINA,Fedbank Financial
FERMENTA,Fermenta Biotech
FIBERWEB,Fiberweb
FIEMIND,Fiem Inds
FILATEX,Filatex India
FINCABLES,Finolex Cables
FINEORG,Fine Organic Inds.
FINIETF,ICICIFIN
FINKURVE,Finkurve Financial
FINOPB,Fino Payments Bk
FINPIPE,Finolex Industries
FIRSTCRY,Brainbees Solutions
FISCHER,Fischer Medical
FIVESTAR,Five Star Business
FLAIR,Flair Writing Indu.
FLEXIADD,FLEXIADD
FLEXITUFF,Flexituff Ventures
FLUOROCHEM,Gujarat Fluorochem
FMCGADD,DSP Nifty FMCG ETF
FMCGIETF,ICICIFMCG
FMGOETZE,Federal-Mogul Goetze
FOCUS,Focus Lighting
FOODSIN,Foods and Inns
FORCEMOT,Force Motors
FORTIS,Fortis Healthcare
FOSECOIND,Foseco India
FRACTAL,Fractal Analytics
FRONTSP,Frontier Springs
FSL,Firstsource Solution
FUSION,Fusion Finance
GABRIEL,Gabriel India
GAEL,Gujarat Ambuja Exp
GAIL,GAIL (India)
GALAPREC,Gala Precision Engi.
GALAXYSURF,Galaxy Surfactants
GALLANTT,Gallantt Ispat
GANDHAR,Gandhar Oil Refinery
GANDHITUBE,Gandhi Special Tubes
GANECOS,Ganesha Ecosphere
GANESHBE,Ganesh Benzoplast
GANESHCP,Ganesh Consumer Prod
GANESHHOU,Ganesh Housing
GANGAFORGE,Ganga Forging
GANGESSECU,Ganges Securities
GARFIBRES,Garware Tech Fibre
GARUDA,Garuda Const. & Eng.
GATECH,GACM Technologies
GATECHDVR,SCAPDVR
GATEWAY,Gateway Distri
GAYAHWS,Gayatri Highways
GCSL,Gretex Corporate
GEECEE,GeeCee Vntrs
GEEKAYWIRE,Geekay Wires
GENCON,Generic Engg
GENESYS,Genesys Intl Corp
GENUSPAPER,Genus Paper & Boards
GENUSPOWER,Genus Power Infra
GEOJITFSL,Geojit Finl. Service
GESHIP,GE Shipping
GFLLIMITED,GFL
GHCL,GHCL
GHCLTEXTIL,GHCL Textiles
GICHSGFIN,GIC Housing Finance
GICL,Globe Intl Carriers
GICRE,General Insurance
GILLANDERS,Gillanders Arbuthnot
GILLETTE,Gillette India
GILT10BETA,NIF10GETF
GILT5BETA,NIF5GETF
GILT5YBEES,NETFGILT5Y
GINNIFILA,Ginni Filaments
GIPCL,Guj Inds Power Co
GKENERGY,GK Energy
GKSL,Guj. Kidney & Super
GKWLIMITED,GKW
GLAND,Gland Pharma
GLAXO,GSK Pharma
GLENMARK,Glenmark Pharma
GLOBAL,Global Education
GLOBALVECT,Global Vectra
GLOBE,Globe Enterprises(I)
GLOBUSSPR,Globus Spirits
GLOSTERLTD,Gloster
GMBREW,GM Breweries
GMDCLTD,GMDC
GMMPFAUDLR,GMM Pfaudler
GMRAIRPORT,GMR Airports
GMRP&UI,GMR Power
GNA,GNA Axles
GNFC,GNFC
GNRL,GNRL
GOACARBON,Goa Carbon
GOCLCORP,GOCL Corp
GOCOLORS,Go Fashion (India)
GODAVARIB,Godavari Biorefin
GODFRYPHLP,Godfrey Phillips
GODIGIT,Go Digit General Ins
GODREJAGRO,Godrej Agrovet
GODREJCP,Godrej Consumer
GODREJIND,Godrej Industries
GODREJPROP,Godrej Properties
GOKEX,Gokaldas Exports
GOKUL,Gokul Refoils
GOKULAGRO,Gokul Agro Resources
GOLD1,Kotak - MF - Gold ETF
GOLD360,GOLD360
GOLDADD,GOLDETFADD
GOLDBEES,Nippon India ETF Gold BeES
GOLDBETA,UTI GOLD ETF
GOLDBND,GOLDBND
GOLDCASE,GOLDCASE
GOLDETF,MAGOLDETF
GOLDIAM,Goldiam Intl
GOLDIETF,ICICI Prud Gold ETF
GOLDTECH,AION-Tech Solutions
GOODLUCK,Goodluck India
GOODYEAR,Goodyear India
GOPAL,Gopal Snacks
GOYALALUM,Goyal Aluminiums
GPIL,Godawari Pwr
GPPL,Gujarat Pipavav Port
GPTHEALTH,GPT Healthcare
GPTINFRA,GPT Infraprojects
GRADIENTE,Gradiente Infotain.
GRANDOAK,Grand Oak Canyons
GRANULES,Granules India
GRAPHITE,Graphite India
GRASIM,Grasim Industries
